timestamp,voltage_l1,voltage_l2,voltage_l3
2026-08-18T09:00:00.000000Z,230.100,229.800,230.400
2026-08-18T09:00:00.042017Z,230.099,229.801,230.398
2026-08-18T09:00:00.084034Z,230.098,229.802,230.397
2026-08-18T09:00:00.126050Z,230.097,229.803,230.395
2026-08-18T09:00:00.168067Z,230.097,229.803,230.393
2026-08-18T09:00:00.210084Z,230.096,229.804,230.392
2026-08-18T09:00:00.252101Z,230.095,229.805,230.390
2026-08-18T09:00:00.294118Z,230.094,229.806,230.388
2026-08-18T09:00:00.336134Z,230.093,229.807,230.387
2026-08-18T09:00:00.378151Z,230.092,229.808,230.385
2026-08-18T09:00:00.420168Z,230.092,229.808,230.383
2026-08-18T09:00:00.462185Z,230.091,229.809,230.382
2026-08-18T09:00:00.504202Z,230.090,229.810,230.380
2026-08-18T09:00:00.546218Z,230.089,229.811,230.378
2026-08-18T09:00:00.588235Z,230.088,229.812,230.376
2026-08-18T09:00:00.630252Z,230.087,229.813,230.375
2026-08-18T09:00:00.672269Z,230.087,229.813,230.373
2026-08-18T09:00:00.714286Z,230.086,229.814,230.371
2026-08-18T09:00:00.756303Z,230.085,229.815,230.370
2026-08-18T09:00:00.798319Z,230.084,229.816,230.368
2026-08-18T09:00:00.840336Z,230.083,229.817,230.366
2026-08-18T09:00:00.882353Z,230.082,229.818,230.365
2026-08-18T09:00:00.924370Z,230.082,229.818,230.363
2026-08-18T09:00:00.966387Z,230.081,229.819,230.361
2026-08-18T09:00:01.008403Z,230.080,229.820,230.360
2026-08-18T09:00:01.050420Z,230.079,229.821,230.358
2026-08-18T09:00:01.092437Z,230.078,229.822,230.356
2026-08-18T09:00:01.134454Z,230.077,229.823,230.355
2026-08-18T09:00:01.176471Z,230.076,229.824,230.353
2026-08-18T09:00:01.218487Z,230.076,229.824,230.351
2026-08-18T09:00:01.260504Z,230.075,229.825,230.350
2026-08-18T09:00:01.302521Z,230.074,229.826,230.348
2026-08-18T09:00:01.344538Z,230.073,229.827,230.346
2026-08-18T09:00:01.386555Z,230.072,229.828,230.345
2026-08-18T09:00:01.428571Z,230.071,229.829,230.343
2026-08-18T09:00:01.470588Z,230.071,229.829,230.341
2026-08-18T09:00:01.512605Z,230.070,229.830,230.339
2026-08-18T09:00:01.554622Z,230.069,229.831,230.338
2026-08-18T09:00:01.596639Z,230.068,229.832,230.336
2026-08-18T09:00:01.638655Z,230.067,229.833,230.334
2026-08-18T09:00:01.680672Z,230.066,229.834,230.333
2026-08-18T09:00:01.722689Z,230.066,229.834,230.331
2026-08-18T09:00:01.764706Z,230.065,229.835,230.329
2026-08-18T09:00:01.806723Z,230.064,229.836,230.328
2026-08-18T09:00:01.848739Z,230.063,229.837,230.326
2026-08-18T09:00:01.890756Z,230.062,229.838,230.324
2026-08-18T09:00:01.932773Z,230.061,229.839,230.323
2026-08-18T09:00:01.974790Z,230.061,229.839,230.321
2026-08-18T09:00:02.016807Z,230.060,229.840,230.319
2026-08-18T09:00:02.058824Z,230.059,229.841,230.318
2026-08-18T09:00:02.100840Z,230.058,229.842,230.316
2026-08-18T09:00:02.142857Z,230.057,229.843,230.314
2026-08-18T09:00:02.184874Z,230.056,229.844,230.313
2026-08-18T09:00:02.226891Z,230.055,229.845,230.311
2026-08-18T09:00:02.268908Z,230.055,229.845,230.309
2026-08-18T09:00:02.310924Z,230.054,229.846,230.308
2026-08-18T09:00:02.352941Z,230.053,229.847,230.306
2026-08-18T09:00:02.394958Z,230.052,229.848,230.304
2026-08-18T09:00:02.436975Z,230.051,229.849,230.303
2026-08-18T09:00:02.478992Z,230.050,229.850,230.301
2026-08-18T09:00:02.521008Z,230.050,229.850,230.299
2026-08-18T09:00:02.563025Z,230.049,229.851,230.297
2026-08-18T09:00:02.605042Z,230.048,229.852,230.296
2026-08-18T09:00:02.647059Z,230.047,229.853,230.294
2026-08-18T09:00:02.689076Z,230.046,229.854,230.292
2026-08-18T09:00:02.731092Z,230.045,229.855,230.291
2026-08-18T09:00:02.773109Z,230.045,229.855,230.289
2026-08-18T09:00:02.815126Z,230.044,229.856,230.287
2026-08-18T09:00:02.857143Z,230.043,229.857,230.286
2026-08-18T09:00:02.899160Z,230.042,229.858,230.284
2026-08-18T09:00:02.941176Z,230.041,229.859,230.282
2026-08-18T09:00:02.983193Z,230.040,229.860,230.281
2026-08-18T09:00:03.025210Z,230.039,229.861,230.279
2026-08-18T09:00:03.067227Z,230.039,229.861,230.277
2026-08-18T09:00:03.109244Z,230.038,229.862,230.276
2026-08-18T09:00:03.151261Z,230.037,229.863,230.274
2026-08-18T09:00:03.193277Z,230.036,229.864,230.272
2026-08-18T09:00:03.235294Z,230.035,229.865,230.271
2026-08-18T09:00:03.277311Z,230.034,229.866,230.269
2026-08-18T09:00:03.319328Z,230.034,229.866,230.267
2026-08-18T09:00:03.361345Z,230.033,229.867,230.266
2026-08-18T09:00:03.403361Z,230.032,229.868,230.264
2026-08-18T09:00:03.445378Z,230.031,229.869,230.262
2026-08-18T09:00:03.487395Z,230.030,229.870,230.261
2026-08-18T09:00:03.529412Z,230.029,229.871,230.259
2026-08-18T09:00:03.571429Z,230.029,229.871,230.257
2026-08-18T09:00:03.613445Z,230.028,229.872,230.255
2026-08-18T09:00:03.655462Z,230.027,229.873,230.254
2026-08-18T09:00:03.697479Z,230.026,229.874,230.252
2026-08-18T09:00:03.739496Z,230.025,229.875,230.250
2026-08-18T09:00:03.781513Z,230.024,229.876,230.249
2026-08-18T09:00:03.823529Z,230.024,229.876,230.247
2026-08-18T09:00:03.865546Z,230.023,229.877,230.245
2026-08-18T09:00:03.907563Z,230.022,229.878,230.244
2026-08-18T09:00:03.949580Z,230.021,229.879,230.242
2026-08-18T09:00:03.991597Z,230.020,229.880,230.240
2026-08-18T09:00:04.033613Z,230.019,229.881,230.239
2026-08-18T09:00:04.075630Z,230.018,229.882,230.237
2026-08-18T09:00:04.117647Z,230.018,229.882,230.235
2026-08-18T09:00:04.159664Z,230.017,229.883,230.234
2026-08-18T09:00:04.201681Z,230.016,229.884,230.232
2026-08-18T09:00:04.243697Z,230.015,229.885,230.230
2026-08-18T09:00:04.285714Z,230.014,229.886,230.229
2026-08-18T09:00:04.327731Z,230.013,229.887,230.227
2026-08-18T09:00:04.369748Z,230.013,229.887,230.225
2026-08-18T09:00:04.411765Z,230.012,229.888,230.224
2026-08-18T09:00:04.453782Z,230.011,229.889,230.222
2026-08-18T09:00:04.495798Z,230.010,229.890,230.220
2026-08-18T09:00:04.537815Z,230.009,229.891,230.218
2026-08-18T09:00:04.579832Z,230.008,229.892,230.217
2026-08-18T09:00:04.621849Z,230.008,229.892,230.215
2026-08-18T09:00:04.663866Z,230.007,229.893,230.213
2026-08-18T09:00:04.705882Z,230.006,229.894,230.212
2026-08-18T09:00:04.747899Z,230.005,229.895,230.210
2026-08-18T09:00:04.789916Z,230.004,229.896,230.208
2026-08-18T09:00:04.831933Z,230.003,229.897,230.207
2026-08-18T09:00:04.873950Z,230.003,229.897,230.205
2026-08-18T09:00:04.915966Z,230.002,229.898,230.203
2026-08-18T09:00:04.957983Z,230.001,229.899,230.202
2026-08-18T09:00:05.000000Z,230.000,229.900,230.200
